date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:46	153876/153876	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:45%20GMT	https://oxfordschoolofenglish.in/personality-development-course.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/personality-development-course.html	(from https://oxfordschoolofenglish.in/)
22:20:47	148683/148683	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:46%20GMT	https://oxfordschoolofenglish.in/intermediate-level-english-speaking-course.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/intermediate-level-english-speaking-course.html	(from https://oxfordschoolofenglish.in/)
22:20:47	165150/165150	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:47%20GMT	https://oxfordschoolofenglish.in/basic-spoken-english-course.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/basic-spoken-english-course.html	(from https://oxfordschoolofenglish.in/)
22:20:48	156848/156848	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:47%20GMT	https://oxfordschoolofenglish.in/pte-coaching-near-me.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/pte-coaching-near-me.html	(from https://oxfordschoolofenglish.in/)
22:20:49	157148/157148	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:48%20GMT	https://oxfordschoolofenglish.in/english-and-pte-coaching-classes.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/english-and-pte-coaching-classes.html	(from https://oxfordschoolofenglish.in/)
22:20:49	92361/92361	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:49%20GMT	https://oxfordschoolofenglish.in/competitive-exam-english-classes.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/competitive-exam-english-classes.html	(from https://oxfordschoolofenglish.in/)
22:20:50	76373/76373	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:49%20GMT	https://oxfordschoolofenglish.in/hire-fresher.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/hire-fresher.html	(from https://oxfordschoolofenglish.in/)
22:20:50	77821/77821	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:50%20GMT	https://oxfordschoolofenglish.in/job-for-freshers-in-delhi.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/job-for-freshers-in-delhi.html	(from https://oxfordschoolofenglish.in/)
22:20:52	83/83	---M--	409	error ('Conflict')	text/html	date:Sun,%2024%20Aug%202025%2016:50:50%20GMT	https://oxfordschoolofenglish.in/contact-us.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/contact-us.34.delayed	(from https://oxfordschoolofenglish.in/)
22:20:52	74509/74509	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:52%20GMT	https://oxfordschoolofenglish.in/contact-us-pitampura.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/contact-us-pitampura.html	(from https://oxfordschoolofenglish.in/)
22:20:53	74620/74620	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:53%20GMT	https://oxfordschoolofenglish.in/contact-us-laxmi-nagar.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/contact-us-laxmi-nagar.html	(from https://oxfordschoolofenglish.in/)
22:20:53	74623/74623	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:53%20GMT	https://oxfordschoolofenglish.in/contact-us-rajouri-garden.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/contact-us-rajouri-garden.html	(from https://oxfordschoolofenglish.in/)
22:20:54	74715/74715	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Aug%202025%2016:50:54%20GMT	https://oxfordschoolofenglish.in/contact-us-south-extension.php	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/contact-us-south-extension.html	(from https://oxfordschoolofenglish.in/)
22:20:54	2616/2616	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:56%20GMT	https://oxfordschoolofenglish.in/assets/oxford-logo/oxford-english-icon.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/oxford-logo/oxford-english-icon.webp	(from https://oxfordschoolofenglish.in/)
22:20:54	2064/2064	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:56%20GMT	https://oxfordschoolofenglish.in/assets/icons/lightning-icon.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/icons/lightning-icon.webp	(from https://oxfordschoolofenglish.in/)
